driver_id,person_key,creation_rule,lead_events_count,action,status,error
6707fe1b8f5b4762ad3dd2656c20ace0,579fe303-9114-4428-b22e-b19de0575fc9,R1_PHONE_EXACT,0,quarantined,quarantined,
89bb38df080d448292b63ba91b70f51b,56fabbca-be75-452c-86e2-2bdf73d0c22d,R1_PHONE_EXACT,0,quarantined,quarantined,
29f0cafe0e964b9d8533af577c2d4425,ab99bf99-f8cf-4863-8e96-20f69d3f2e13,R1_PHONE_EXACT,0,quarantined,quarantined,
739596116a0545f1adbd7d5afb309be9,4f40611e-3598-4f1f-9469-c003e918681c,R1_PHONE_EXACT,0,quarantined,quarantined,
9fae9f231dbf47f58d88cbafa3e40a1d,65093a37-387c-4a98-8c75-4e08d5d1655f,R1_PHONE_EXACT,0,quarantined,quarantined,
43bc0090bf0849a3ac4800ac5143b35d,1768237d-94cf-4821-a4ee-359771aeb211,R1_PHONE_EXACT,0,quarantined,quarantined,
03f94f9760d348a28a573a0a94fbd755,f64aeec4-46e1-417a-a224-43589542b1ac,R1_PHONE_EXACT,0,quarantined,quarantined,
848e594a91014a9496ce657b91e4ad72,dc810fab-0dac-4967-8651-65bb28c9793f,R1_PHONE_EXACT,0,quarantined,quarantined,
e34783dd739f487ea21e7941e2f7d273,a91cba59-fb9b-4c7c-a158-1f5d38e2d529,R1_PHONE_EXACT,0,quarantined,quarantined,
16d129517d57448591d8342a23b7a548,bc675c57-578d-4b00-ba5a-492652377354,R1_PHONE_EXACT,0,quarantined,quarantined,
6ad23513a561403f850654a01942d63c,5b771326-1f26-4755-8e08-f06599085034,R1_PHONE_EXACT,0,quarantined,quarantined,
53766f9ca0904c259f87f0e07ee8bfa6,730d6c13-8417-4eeb-944e-4d8e32bacbb7,R1_PHONE_EXACT,0,quarantined,quarantined,
f3697869b8774172989d4b97bedfae7b,898d8606-6b58-49bc-ad23-8091b1ead864,R1_PHONE_EXACT,0,quarantined,quarantined,
46bc30a2ae154384ae5cd030e5092a52,879ca434-1d43-4a2c-97f1-88af2726cd78,R1_PHONE_EXACT,0,quarantined,quarantined,
a952a8af8e924ca69cac2b717586502d,055d61d9-1401-4cf0-aab7-902dcad7af68,R1_PHONE_EXACT,0,quarantined,quarantined,
4d7f442dfafd49b4adcd94ecb05380af,d1a58524-e5fe-4ebd-a429-6fa0ca9b7a2e,R1_PHONE_EXACT,0,quarantined,quarantined,
0df5e369d1f44ed986f3d9b32195b5eb,fa97e49b-6304-4eae-9fe7-7031e6ede8c6,R1_PHONE_EXACT,0,quarantined,quarantined,
d9f605a43d074eb6a8202edecf2c383d,d811eac5-f00e-4cf0-92bf-5be00ef954a4,R1_PHONE_EXACT,0,quarantined,quarantined,
70e4987818504889b5425bfca953e7b9,ac308120-b460-4298-a482-ad2494e5756f,R1_PHONE_EXACT,0,quarantined,quarantined,
